price,points
97.0,4
51.63636363636363,36
50.81967213114754,61
41.57794888963285,11174
40.592233009708735,1051
39.739835514884746,10005
36.34488875748392,27177
35.786701208981,1177
35.575471698113205,108
31.508064516129032,259
30.846774193548388,1635
30.4,20
27.875925377554044,3409
26.737704918032787,61
26.677419354838708,31
26.662905500705218,733
25.767441860465116,43
25.64736012608353,2963
25.0,44
25.0,7
24.293478260869566,737
24.0,39
23.666666666666668,6
23.604663487016428,1907
23.185185185185187,31
23.0,4
21.84518828451883,242
21.09090909090909,11
21.021543985637344,2258
20.5,8
18.27027027027027,37
17.9,30
16.0,6
16.0,1
15.833333333333334,6
14.014705882352942,68
14.0,1
13.73134328358209,67
13.5,4
13.0,1
9.2,5
